Time (s),Signal strength,Ax (m/s²),Ay (m/s²),Az (m/s²),Bx (µT),By (µT),Bz (µT),ωx (rad/s),ωy (rad/s),ωz (rad/s),Voltage (mV)
0.009999999776482582,46,-0.10489142686128616,-9.793155670166016,0.34190866351127625,-2.493037462234497,33.26360321044922,-5.081475734710693,-0.05622085928916931,5.090871334075928,-0.1563190221786499,-0.002616431098431349
0.019999999552965164,46,-0.08163115382194519,-9.749441146850586,0.438299298286438,-2.8465583324432373,33.386558532714844,-4.850322246551514,-0.05509456247091293,5.059334754943848,-0.1506875455379486,-0.002616431098431349
0.029999999329447746,46,-0.16462984681129456,-9.701916694641113,0.46003395318984985,-3.133877992630005,33.45729064941406,-4.470346927642822,-0.05391791835427284,4.863921165466309,-0.1265132576227188,-0.002616431098431349
0.03999999910593033,46,-0.28861498832702637,-9.72573471069336,0.29989108443260193,-3.1604928970336914,33.45729064941406,-4.342947959899902,-0.05274127423763275,4.607150077819824,-0.10985744744539261,-0.002616431098431349
0.05000000074505806,46,-0.3006076216697693,-9.72529125213623,0.1401919722557068,-2.940964937210083,33.474143981933594,-4.681637287139893,-0.04376266524195671,4.19144344329834,-0.07700664550065994,-0.0031397175043821335
0.05999999865889549,46,-0.2031341791152954,-9.705482482910156,0.003986692987382412,-2.789228916168213,33.63246154785156,-3.4910645484924316,-0.039647139608860016,3.4742488861083984,-0.04330535978078842,-0.0031397175043821335
0.07000000029802322,46,-0.0930095911026001,-9.673379898071289,0.03244427964091301,-2.838481903076172,33.58107376098633,-3.8118112087249756,-0.040792036801576614,2.4893946647644043,-0.0016138573409989476,-0.002616431098431349
0.07999999821186066,46,-0.16932177543640137,-9.698707580566406,0.18737933039665222,-2.814253091812134,33.606353759765625,-4.430860996246338,-0.03737594932317734,1.4333537817001343,0.024966293945908546,-0.002616431098431349
0.09000000357627869,46,-0.21095092594623566,-9.752680778503418,0.32857054471969604,-2.605983018875122,33.58190155029297,-4.581122875213623,-0.014468085952103138,0.4382321536540985,0.00974331796169281,-0.0031397175043821335
0.10000000149011612,46,-0.2065470814704895,-9.819059371948242,0.3638429641723633,-2.3720154762268066,33.59211730957031,-4.32956600189209,0.007895838469266891,0.006784472614526749,-0.008732766844332218,-0.002616431098431349
0.10999999940395355,46,-0.20846882462501526,-9.854978561401367,0.3267289400100708,-2.675487995147705,34.22539520263672,-5.07367467880249,0.02638830430805683,-0.031470317393541336,-0.01814592070877552,-0.0020931449253112078
0.11999999731779099,46,-0.15594877302646637,-9.924833297729492,0.3226749300956726,-2.6035966873168945,34.07537078857422,-4.934214115142822,0.04390006139874458,-0.01818246580660343,-0.018217096105217934,-0.002616431098431349
0.12999999523162842,46,-0.11717216670513153,-9.94222354888916,0.3364187180995941,-2.585853338241577,34.03834533691406,-4.899409294128418,0.05747908726334572,-0.013094930909574032,-0.013987729325890541,-0.002616431098431349
0.14000000059604645,46,-0.0802571251988411,-9.928908348083496,0.4128212332725525,-2.709383726119995,33.909454345703125,-4.576322078704834,0.06559083610773087,-0.021985985338687897,-0.010855134576559067,-0.0031397175043821335
0.15000000596046448,46,-0.07488449662923813,-9.933095932006836,0.4687252640724182,-2.8885302543640137,33.646697998046875,-4.076089382171631,0.06770551949739456,-0.026920247822999954,-0.004738768562674522,-0.0036630036775022745
0.1599999964237213,46,-0.12572024762630463,-9.924338340759277,0.4894392788410187,-2.9279940128326416,33.345252990722656,-3.8355746269226074,0.0596989206969738,-0.018070848658680916,0.0012320084497332573,-0.0031397175043821335
0.17000000178813934,46,-0.14284805953502655,-9.865358352661133,0.4625348448753357,-2.624521493911743,33.18693161010742,-4.1332173347473145,0.03882688283920288,0.013317586854100227,0.0076132663525640965,-0.0031397175043821335
0.18000000715255737,46,-0.14073319733142853,-9.802217483520508,0.4090936481952667,-2.5196523666381836,33.304908752441406,-4.301002025604248,0.018290912732481956,0.05728250741958618,0.009645854122936726,-0.002616431098431349
0.1899999976158142,46,-0.22397565841674805,-9.796728134155273,0.4120446443557739,-2.493037462234497,33.36044692993164,-4.739665985107422,-0.01048925332725048,0.09124545007944107,0.009741093963384628,-0.002616431098431349
0.20000000298023224,46,-0.3067622184753418,-9.838652610778809,0.4442393183708191,-2.5899527072906494,33.427860260009766,-5.049790859222412,-0.03888198733329773,0.10427507758140564,0.007311168592423201,-0.0031397175043821335
0.20999999344348907,46,-0.29799884557724,-9.907243728637695,0.4536723494529724,-2.7561283111572266,33.506065368652344,-4.960318088531494,-0.05499386414885521,0.09636695683002472,0.010852020233869553,-0.002616431098431349
0.2199999988079071,46,-0.2936108410358429,-9.934404373168945,0.4104566276073456,-2.680260181427002,33.26858139038086,-4.811496257781982,-0.05308502912521362,0.081395722925663,0.0209646113216877,-0.0031397175043821335
0.23000000417232513,46,-0.24845801293849945,-9.939006805419922,0.3269381523132324,-2.5301148891448975,33.57360076904297,-5.245479106903076,-0.034603483974933624,0.049552932381629944,0.02664097212255001,-0.002616431098431349
0.23999999463558197,46,-0.1929524689912796,-9.89486312866211,0.2427223175764084,-2.5503666400909424,33.531341552734375,-4.904749870300293,-0.021846428513526917,0.03574945405125618,0.028994262218475342,-0.002616431098431349
0.25,46,-0.16123910248279572,-9.808632850646973,0.2266392558813095,-2.383946418762207,33.54155731201172,-4.586703777313232,-0.020669782534241676,0.041632674634456635,0.031347550451755524,-0.0015698587521910667
0.25999999046325684,46,-0.13805480301380157,-9.737340927124023,0.23519112169742584,-2.1920735836029053,33.65097427368164,-4.627209663391113,-0.026362525299191475,0.06010977178812027,0.029121248051524162,-0.0031397175043821335
